OID,BlockCode,GEO_ID,BCTCB2010,BoroCode,NTA Code,NTA Name,Borough,PUMA,Maximum Residential Broadband Speed by Block,Residential ISP Count by Block,Commerical Fiber Count by Block
14629,360850128061010,360850128061,50128061010,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14630,360850128061011,360850128061,50128061011,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14631,360850128061012,360850128061,50128061012,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14632,360850128061013,360850128061,50128061013,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14633,360850128062004,360850128062,50128062004,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14634,360850128064000,360850128064,50128064000,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14635,360850128064001,360850128064,50128064001,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14636,360850128064002,360850128064,50128064002,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14637,360850128064003,360850128064,50128064003,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14638,360850128064004,360850128064,50128064004,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14639,360850128064005,360850128064,50128064005,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14640,360850128064006,360850128064,50128064006,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14641,360850128064008,360850128064,50128064008,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14642,360850128064009,360850128064,50128064009,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14643,360850128064010,360850128064,50128064010,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14644,360850128064011,360850128064,50128064011,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14645,360850128064012,360850128064,50128064012,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14646,360850128064014,360850128064,50128064014,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14647,360850128064015,360850128064,50128064015,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14648,360850128064016,360850128064,50128064016,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14649,360850128064017,360850128064,50128064017,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14650,360850128064018,360850128064,50128064018,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14651,360850128064019,360850128064,50128064019,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14652,360850128064020,360850128064,50128064020,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14653,360850128064021,360850128064,50128064021,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14654,360850128064022,360850128064,50128064022,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,1
14655,360850132043001,360850132043,50132043001,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14656,360850132041006,360850132041,50132041006,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14657,360850132041007,360850132041,50132041007,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14658,360850132041008,360850132041,50132041008,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14659,360850132041009,360850132041,50132041009,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14660,360850132041011,360850132041,50132041011,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14661,360850132041012,360850132041,50132041012,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14662,360850132041013,360850132041,50132041013,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14663,360850132041014,360850132041,50132041014,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14664,360850132041015,360850132041,50132041015,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14665,360850132041016,360850132041,50132041016,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14666,360850132041019,360850132041,50132041019,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,1
14667,360850132041021,360850132041,50132041021,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14668,360850132041022,360850132041,50132041022,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14669,360850132041023,360850132041,50132041023,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14670,360850132042014,360850132042,50132042014,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14671,360850132042015,360850132042,50132042015,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14672,360850132042022,360850132042,50132042022,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14673,360850132042023,360850132042,50132042023,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14674,360850132042024,360850132042,50132042024,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14675,360850132042025,360850132042,50132042025,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14676,360850132042026,360850132042,50132042026,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14677,360850132042027,360850132042,50132042027,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14678,360850132042028,360850132042,50132042028,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,3
14679,360850132042029,360850132042,50132042029,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14680,360850132042032,360850132042,50132042032,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14681,360850132042033,360850132042,50132042033,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14682,360850132042034,360850132042,50132042034,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14683,360850132042035,360850132042,50132042035,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
14684,360850132043002,360850132043,50132043002,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,1,1
14685,360850132043005,360850132043,50132043005,5,SI25,Oakwood-Oakwood Beach,Staten Island,3901,940,2,2
